stop_id,stop_name,num_lines,stop_code,x_coord,y_coord
101001550,Fritz-Erler-Allee/Neuköllner Str,1,FENE02,396853.59696376,5809512.6634361
101001551,Arnikaweg,2,ARNK02,396512.11464939,5809943.31504888
101001552,Lipschitzallee/Rudower Str.,1,LIRU03,396265.21188522,5810205.48950778
101001553,Nahmitzer Damm,2,NAHM03,388924.97279841,5807938.94473176
101001554,U Johannisthaler Chaussee,4,UJTC03,394831.23612544,5809932.15920038
101001555,Tischlerzeile,1,TIZL02,394413.13997593,5809688.82785116
101001556,Amorbacher Weg,2,AMOR01,378487.05937055,5824484.67104697
101001557,Alt-Buckow,3,ABUC04,393611.81431995,5809263.19125332
101001558,Knausplatz,2,KNPL03,387159.64040142,5813966.11421727
101001559,Delmer Steig,1,DELM02,392641.68511343,5808868.45970383
101001560,Quarzweg/Marienfelder Chaussee,3,QUMF04,392354.74815228,5808755.01626873
101001561,Bühler Weg,1,BUWG02,392077.27009789,5808655.00132681
101001562,Grauwackeweg,1,GRWW02,391641.21992612,5808498.29533488
101001563,Mariendorfer Damm/Buckower Ch,2,MABC03,391318.03054252,5808381.74870776
101001564,Kettinger Str.,1,KETT02,390912.64185675,5808233.56356582
101001566,U Bayerischer Platz,1,UBP01N,387380.72671942,5816679.23579438
101001567,Grunewaldstr.,1,GRWD01N,387593.50406243,5816710.19583243
101001568,U Eisenacher Str.,1,UEI01N,388134.35475228,5816782.79788569
101001569,Zehlendorf Eiche,6,ZEIC04,381741.92640502,5810821.28196966
101001570,U Parchimer Allee,1,UPIA01,394624.9917241,5811728.44492633
101001571,Schillstr.,3,SCIL01,387997.83288861,5818242.70514329
101001572,Rudower Str./Grüner Weg,4,RUGR02,395061.53509923,5811411.66444612
101001573,Buschkrugallee/Parchimer Allee,1,BUPA01,394954.93296247,5811721.36503963
101001574,U Parchimer Allee,1,UPIA02,394612.12189742,5811750.986646
101001575,Paster-Behrens-Str.,1,PABE02,394357.05917388,5811772.83524762
101001576,Fulhamer Allee,1,FULH02,393753.03032635,5812105.68698339
101001577,Gradestr./Tempelhofer Weg,1,GRTW01,393492.00915023,5812571.5116628
101001578,Karl-Elsasser-Str.,1,KELS02,393006.99979601,5813121.48951243
101001579,Bergholzstr.,3,BGHZ01,392448.83447913,5813399.88859934
101001580,Oranienburger/Hermsdorfer Str.,3,ORHE02,386728.00821328,5829525.97446077
101001581,Rohdestr.,1,RHDE02,391787.87732809,5813404.94710948
101001582,U Eisenacher Str.,1,UEI02N,388073.49924123,5816790.2514508
101001583,Grunewaldstr.,1,GRWD02N,387590.8773117,5816729.84109056
101001584,U Osloer Str.,3,UOSL02N,389695.7008535,5824268.29687439
101001585,U Ullsteinstr./Ordensmeisterstr.,1,UULO02,390222.96024449,5812977.73775776
101001586,Kameradenweg,1,KMRD01,387568.73671774,5810584.75143896
101001587,Kameradenweg,1,KMRD02,387566.95900842,5810633.37586931
101001589,U Mehringdamm,1,UMED01,390442.55252638,5817134.0667174
101001590,Krematorium Ruhleben,2,KRRU01,380059.11268646,5821217.39667017
101001591,Moritzstr.,7,MRTZ01,377979.88726781,5822510.11484261
101001592,Güterbahnhof Ruhleben,2,GBRL01,379275.80475627,5821299.3927412
101001593,Teltower Str.,3,TELT01,378921.35441189,5821148.95017475
101001594,Heidereuterstr.,1,HDRT01,378447.02168113,5821346.16393645
101001595,Budapester Str.,1,BUDP02,387747.59685127,5818676.43133712
101001596,Nord.Botschaften/Adenauer-Stiftg,1,NBAD03,388159.96251334,5818991.26720512
101001597,Tiergartenstr.,1,TGTN01,388914.48261783,5818999.81759788
101001598,S+U Rathaus Spandau,4,SUSP02,377913.6982478,5822079.69000078
101001599,Heidereuterstr.,1,HDRT02,378408.57644892,5821348.79907921
101001600,Teltower Str.,3,TELT02,379029.11665174,5821142.0018129
101001601,Güterbahnhof Ruhleben,2,GBRL02,379355.60241452,5821309.87860153
