site_id,street_name,district,street_type,x_coord,y_coord,distance_from_center,location_type,estimated_traffic_level,traffic_impact,district_encoded,street_type_encoded,location_type_encoded,construction_zone,predicted_impact
1603,Schwiebusser Straße (Kreuzberg),Kreuzberg,Straße,390430.04043326,5816309.85286784,4010.2317761182157,Inner City,5,High,25,3,1,1,High
1604,Richterstraße (Bohnsdorf),Bohnsdorf,Straße,402880.60894575,5807708.85125786,16415.236472002194,Suburbs,3,Low,6,3,3,0,Low
1605,Roßstraßenbrücke (Mitte),Mitte,Straße,391970.94823282,5819228.79761573,771.7493911106753,City Center,6,High,33,3,0,1,High
1606,Karl-Marx-Straße (Neukölln),Neukölln,Straße,393562.05274159,5815865.87603014,4419.387940165808,Inner City,4,Medium,35,3,1,0,Medium
1607,Grunerstr. (Mitte),Mitte,Straße,392065.24846709,5819771.07887439,238.03832508298038,City Center,6,High,33,3,0,1,High
1608,Schräger Weg (Karow),Karow,Weg,396165.39568185,5830078.93376104,10905.752011933944,Suburbs,2,Low,24,4,3,1,Low
1609,Glinkastraße,Mitte,Straße,390484.58817014,5819597.9673281,1567.8339463585855,City Center,6,High,33,3,0,1,High
1610,Berliner Straße (Wilmersdorf),Wilmersdorf,Straße,385505.77981916,5816521.5110718,7367.141981856853,Outer City,3,Low,58,3,2,1,Low
1611,Kreuzbergstraße (Kreuzberg),Kreuzberg,Straße,389581.70349992,5816575.24964959,4192.501988661816,Inner City,5,High,25,3,1,1,High
1612,Müller-Breslau-Straße (Charlottenburg),Charlottenburg,Straße,386699.40223312,5819390.83696124,5335.486509592646,Outer City,4,Medium,10,3,2,1,Medium
1613,Bahnhofstraße (Lichtenrade),Lichtenrade,Straße,390892.66851773,5805257.06967374,14784.457298682762,Suburbs,3,Low,28,3,3,0,Low
1614,Gärtnerstraße (Friedrichshain),Friedrichshain,Straße,395527.98355322,5818901.17560357,3695.143164476799,Inner City,4,Medium,15,3,1,0,Medium
1615,Wrangelstraße (Kreuzberg),Kreuzberg,Straße,393964.53390231,5817830.14836916,2927.0547574629272,Inner City,5,High,25,3,1,0,High
1616,Schlesisches Tor (Kreuzberg),Kreuzberg,Straße,394256.53128416,5817905.4031395,3078.8422246697487,Inner City,5,High,25,3,1,0,High
1617,Gitschiner Straße (Kreuzberg),Kreuzberg,Straße,391940.30129303,5817669.50338812,2331.2611165630283,Inner City,5,High,25,3,1,1,High
1618,Badstraße (Gesundbrunnen),Gesundbrunnen,Straße,390338.77295847,5823651.05557753,4011.2195294848334,Inner City,4,Medium,17,3,1,1,Medium
1619,Kaiserin-Augusta-Allee (Moabit),Moabit,Allee,385748.76683972,5820857.2297434,6309.735244616298,Outer City,4,Medium,34,0,2,1,Medium
1620,Skalitzer Straße (Kreuzberg),Kreuzberg,Straße,393252.60551573,5817718.86139579,2602.424621320131,Inner City,5,High,25,3,1,0,High
1621,Müggelheimer Straße (Köpenick),Köpenick,Straße,403148.15822426,5811429.62883579,14061.745755256037,Suburbs,3,Low,26,3,3,0,Low
1622,Mühlenstraße (Friedrichshain),Friedrichshain,Straße,394004.50245613,5818466.10345898,2524.057981739722,Inner City,4,Medium,15,3,1,0,Medium
1623,Alexanderstraße (Mitte),Mitte,Straße,392649.27397567,5819834.57857954,670.0156280484779,City Center,6,High,33,3,0,1,High
1624,Elsenstraße (Alt-Treptow),Alt-Treptow,Straße,395328.85560558,5816888.49722406,4556.613783006478,Inner City,4,Medium,1,3,1,0,Medium
1625,Nestorstraße (Halensee),Halensee,Straße,384565.20480544,5817422.79713765,7868.808942829863,Outer City,3,Low,19,3,2,1,Low
1626,Sterndamm (Niederschöneweide),Niederschöneweide,Straße,398897.73732096,5812676.60380159,10060.363414302907,Suburbs,3,Low,36,3,3,0,Low
1627,Feuerbachstraße (Steglitz),Steglitz,Straße,386493.29673927,5813886.71652442,8227.758847616426,Outer City,3,Low,49,3,2,1,Low
1628,Sonnenallee (Neukölln),Neukölln,Straße,393359.53989379,5816306.46898257,3935.7998042996137,Inner City,4,Medium,35,3,1,0,Medium
